Geography,Population,Labour_Metric,Sex,Year,Indicator,Value
Atlantic region,Total population,Labour force 6,Both sexes,2021,Persons,"1,255.20"
Atlantic region,Total population,Labour force 6,Males,2021,Persons,645.3
Atlantic region,Total population,Labour force 6,Females,2021,Persons,609.9
Atlantic region,Total population,Employment 7,Both sexes,2021,Persons,"1,132.40"
Atlantic region,Total population,Employment 7,Males,2021,Persons,571.8
Atlantic region,Total population,Employment 7,Females,2021,Persons,560.6
Atlantic region,Total population,Unemployment 8,Both sexes,2021,Persons,122.8
Atlantic region,Total population,Unemployment 8,Males,2021,Persons,73.5
Atlantic region,Total population,Unemployment 8,Females,2021,Persons,49.3
Atlantic region,Total population,Not in labour force 9,Both sexes,2021,Persons,796.4
Atlantic region,Total population,Not in labour force 9,Males,2021,Persons,354.8
Atlantic region,Total population,Not in labour force 9,Females,2021,Persons,441.6
Atlantic region,Total population,Population 5,Both sexes,2022,Persons,"2,092.00"
Atlantic region,Total population,Population 5,Males,2022,Persons,"1,020.70"
